id,name,price,stock
P001,Apple Laptop,85000.0,46
P002,Apple Smartphone,65000.0,50
P003,Apple Tablet,45000.0,50
P004,Apple Monitor,75000.0,50
P005,Apple Smartwatch,35000.0,50
P006,Apple Headphones,25000.0,50
P007,Apple Earbuds,18000.0,50
P008,Apple Keyboard,8000.0,50
P009,Apple Mouse,6000.0,50
P010,Apple Charger,2500.0,50
P011,Samsung Laptop,65000.0,50
P012,Samsung Smartphone,55000.0,50
P013,Samsung Tablet,35000.0,50
P014,Samsung Monitor,25000.0,50
P015,Samsung Smartwatch,20000.0,50
P016,Samsung Headphones,12000.0,50
P017,Samsung Earbuds,10000.0,50
P018,Samsung Keyboard,4000.0,50
P019,Samsung Mouse,2500.0,50
P020,Samsung Charger,1500.0,50
P021,Sony Laptop,70000.0,50
P022,Sony Smartphone,60000.0,50
P023,Sony Tablet,40000.0,50
P024,Sony Monitor,30000.0,50
P025,Sony Smartwatch,22000.0,50
P026,Sony Headphones,25000.0,50
P027,Sony Earbuds,15000.0,50
P028,Sony Keyboard,5000.0,50
P029,Sony Mouse,3000.0,50
P030,Sony Charger,2000.0,50
P031,Dell Laptop,55000.0,50
P032,Dell Smartphone,35000.0,50
P033,Dell Tablet,25000.0,50
P034,Dell Monitor,18000.0,50
P035,Dell Smartwatch,15000.0,50
P036,Dell Headphones,8000.0,50
P037,Dell Earbuds,6000.0,50
P038,Dell Keyboard,3000.0,50
P039,Dell Mouse,1500.0,50
P040,Dell Charger,1000.0,50
P041,HP Laptop,52000.0,50
P042,HP Smartphone,32000.0,50
P043,HP Tablet,22000.0,50
P044,HP Monitor,16000.0,50
P045,HP Smartwatch,14000.0,50
P046,HP Headphones,7500.0,50
P047,HP Earbuds,5500.0,50
P048,HP Keyboard,2500.0,50
P049,HP Mouse,1200.0,50
P050,HP Charger,900.0,50
P051,Lenovo Laptop,48000.0,50
P052,Lenovo Smartphone,30000.0,50
P053,Lenovo Tablet,20000.0,50
P054,Lenovo Monitor,15000.0,50
P055,Lenovo Smartwatch,12000.0,50
P056,Lenovo Headphones,6000.0,50
P057,Lenovo Earbuds,4500.0,50
P058,Lenovo Keyboard,2000.0,50
P059,Lenovo Mouse,1000.0,50
P060,Lenovo Charger,800.0,50
P061,LG Laptop,58000.0,50
P062,LG Smartphone,45000.0,50
P063,LG Tablet,28000.0,50
P064,LG Monitor,22000.0,50
P065,LG Smartwatch,18000.0,50
P066,LG Headphones,9000.0,50
P067,LG Earbuds,7000.0,50
P068,LG Keyboard,3500.0,50
P069,LG Mouse,1800.0,50
P070,LG Charger,1200.0,50
P071,Asus Laptop,54000.0,50
P072,Asus Smartphone,38000.0,50
P073,Asus Tablet,24000.0,50
P074,Asus Monitor,19000.0,50
P075,Asus Smartwatch,16000.0,50
P076,Asus Headphones,8500.0,50
P077,Asus Earbuds,6500.0,50
P078,Asus Keyboard,3200.0,50
P079,Asus Mouse,1600.0,50
P080,Asus Charger,1100.0,50
P081,Acer Laptop,46000.0,50
P082,Acer Smartphone,28000.0,50
P083,Acer Tablet,18000.0,50
P084,Acer Monitor,14000.0,50
P085,Acer Smartwatch,11000.0,50
P086,Acer Headphones,5500.0,50
P087,Acer Earbuds,4000.0,50
P088,Acer Keyboard,1800.0,50
P089,Acer Mouse,900.0,50
P090,Acer Charger,700.0,50
P091,Microsoft Laptop,75000.0,50
P092,Microsoft Smartphone,60000.0,50
P093,Microsoft Tablet,50000.0,50
P094,Microsoft Monitor,40000.0,50
P095,Microsoft Smartwatch,25000.0,50
P096,Microsoft Headphones,20000.0,50
P097,Microsoft Earbuds,15000.0,50
P098,Microsoft Keyboard,6000.0,50
P099,Microsoft Mouse,4000.0,50
P100,Microsoft Charger,3000.0,50
P101,Nike Running Shoes,4500.0,50
P102,Nike Sneakers,5000.0,50
P103,Nike T-Shirt,1200.0,50
P104,Nike Shorts,1500.0,50
P105,Nike Trackpants,2500.0,50
P106,Nike Jacket,4000.0,50
P107,Nike Hoodie,3500.0,50
P108,Nike Cap,800.0,50
P109,Nike Socks,400.0,50
P110,Nike Gym Bag,2000.0,50
P111,Adidas Running Shoes,4200.0,50
P112,Adidas Sneakers,4800.0,50
P113,Adidas T-Shirt,1100.0,50
P114,Adidas Shorts,1400.0,50
P115,Adidas Trackpants,2300.0,50
P116,Adidas Jacket,3800.0,50
P117,Adidas Hoodie,3200.0,50
P118,Adidas Cap,700.0,50
P119,Adidas Socks,350.0,50
P120,Adidas Gym Bag,1800.0,50
P121,Puma Running Shoes,3500.0,50
P122,Puma Sneakers,4000.0,50
P123,Puma T-Shirt,900.0,50
P124,Puma Shorts,1100.0,50
P125,Puma Trackpants,1800.0,50
P126,Puma Jacket,3000.0,50
P127,Puma Hoodie,2500.0,50
P128,Puma Cap,600.0,50
P129,Puma Socks,300.0,50
P130,Puma Gym Bag,1500.0,50
P131,Reebok Running Shoes,3200.0,50
P132,Reebok Sneakers,3800.0,50
P133,Reebok T-Shirt,800.0,50
